case_id,product,price,market_price,seller_known,payment,urgency,evidence,label,seller_user_id
C0324,Kamera Mirrorless Sony,8.1jt,10.5jt,no,transfer,no,yes,medium,U09532
C0325,Mesin Cuci,3.1jt,3.8jt,yes,e-wallet (protected),no,yes,low,U04368
C0326,Tablet iPad,7.1jt,7.5jt,yes,COD,no,yes,low,U03275
C0327,iPhone 13,1.4jt,10jt,no,transfer,yes,no,high,U04635
C0328,Jam Tangan Original,3.3jt,3.8jt,yes,e-wallet (protected),no,yes,low,U03829
C0329,PS5,2.0jt,8jt,yes,transfer,yes,no,high,U05384
C0330,iPhone 15 Pro,3.4jt,19.5jt,no,transfer,no,yes,high,U05203
C0331,PS5,4.6jt,8jt,yes,transfer,yes,no,high,U00740
C0332,Speaker Bluetooth,446rb,700rb,yes,transfer,yes,yes,medium,U04707
C0333,Kursi Gaming,1.0jt,2.4jt,no,transfer,yes,no,high,U08162
C0334,PS5,4.4jt,8jt,no,transfer,yes,yes,high,U06425
C0335,Set Peralatan Dapur,780rb,950rb,no,COD,no,yes,low,U00406
C0336,TV LED 50 inch,1.9jt,6jt,no,e-wallet (protected),yes,no,high,U06507
C0337,AC 1 PK,2.5jt,3.8jt,no,transfer,yes,no,high,U04355
C0338,Drone DJI Mini,7.0jt,7jt,yes,COD,no,yes,low,U01586
C0339,Drone DJI Mini,2.6jt,7jt,no,transfer,no,no,high,U08550
C0340,AC 1 PK,429rb,3.8jt,no,transfer,yes,yes,high,U04380
C0341,Handphone Xiaomi,3.1jt,3jt,yes,COD,yes,yes,low,U02591
C0342,Handphone Xiaomi,520rb,3jt,no,transfer,yes,no,high,U00747
C0343,PS5,3.0jt,8jt,no,transfer,yes,no,high,U02063
C0344,AC 1 PK,3.9jt,3.8jt,yes,transfer,yes,yes,medium,U00493
C0345,Kompor Gas 2 Tungku,573rb,550rb,no,e-wallet (protected),yes,no,medium,U09388
C0346,Kursi Gaming,449rb,2.4jt,no,transfer,yes,no,high,U07041
C0347,Laptop Macbook Air M2,9.2jt,15.5jt,no,transfer,yes,no,high,U03417
C0348,Motor Bekas Matic,8.4jt,14jt,no,transfer,yes,yes,high,U06587
C0349,Set Kosmetik Original,160rb,450rb,no,transfer,yes,no,high,U04127
C0350,Tablet iPad,4.3jt,7.5jt,no,transfer,no,no,high,U07604
C0351,AC 1 PK,2.6jt,3.8jt,no,transfer,yes,yes,high,U07106
C0352,Set Peralatan Dapur,247rb,950rb,no,transfer,yes,yes,high,U01348
C0353,Sofa 3 Dudukan,1.4jt,3.2jt,no,transfer,yes,no,high,U00479
C0354,Set Peralatan Dapur,502rb,950rb,no,transfer,no,no,high,U04278
C0355,Meja Kerja Kayu,398rb,1.1jt,yes,transfer,no,no,high,U03853
C0356,Sepatu Sneakers Original,1.6jt,1.6jt,no,e-wallet (protected),no,yes,low,U09355
C0357,Sepeda Lipat,2.1jt,2.8jt,yes,transfer,yes,yes,medium,U02455
C0358,Set Peralatan Dapur,142rb,950rb,no,COD,yes,no,high,U09061
C0359,Set Peralatan Dapur,400rb,950rb,no,transfer,yes,no,high,U05270
C0360,Handphone Xiaomi,3.0jt,3jt,yes,COD,no,yes,low,U03551
C0361,Samsung Galaxy S23,11.2jt,11.5jt,no,COD,yes,yes,medium,U00668
C0362,Perhiasan Emas 10gr,6.8jt,10jt,no,transfer,no,yes,medium,U07091
C0363,Tas Branded,2.6jt,4.5jt,no,COD,yes,yes,medium,U07846
C0364,Karpet Persia,1.4jt,2.2jt,no,transfer,yes,yes,high,U04701
C0365,Handphone Xiaomi,2.9jt,3jt,yes,COD,yes,no,medium,U08299
C0366,Jam Tangan Original,3.7jt,3.8jt,no,COD,no,yes,low,U06229
C0367,Speaker Bluetooth,606rb,700rb,yes,e-wallet (protected),yes,yes,low,U08727
C0368,Motor Bekas Matic,10.7jt,14jt,no,transfer,no,yes,medium,U06966
C0369,iPhone 13,10.3jt,10jt,yes,transfer,no,yes,medium,U04354
C0370,Printer Epson,1.2jt,1.4jt,yes,COD,no,yes,low,U09982
C0371,Tablet iPad,1.4jt,7.5jt,no,transfer,yes,no,high,U01804
C0372,Handphone Xiaomi,651rb,3jt,no,transfer,yes,no,high,U08229
C0373,Samsung Galaxy S23,7.8jt,11.5jt,yes,e-wallet (protected),no,yes,low,U02458
C0374,Perhiasan Emas 10gr,7.5jt,10jt,yes,transfer,no,no,medium,U03372
C0375,iPhone 13,6.3jt,10jt,yes,e-wallet (protected),yes,no,medium,U03581
C0376,Meja Kerja Kayu,1.0jt,1.1jt,no,COD,no,yes,low,U06660
C0377,Jam Tangan Original,444rb,3.8jt,no,transfer,no,no,high,U08425
C0378,Set Kosmetik Original,458rb,450rb,yes,transfer,no,yes,medium,U04246
C0379,Tablet iPad,5.4jt,7.5jt,no,transfer,yes,no,high,U08123
C0380,Printer Epson,512rb,1.4jt,no,COD,yes,no,high,U09437
C0381,Set Peralatan Dapur,386rb,950rb,no,COD,yes,no,high,U02219
C0382,Laptop ASUS ROG,17.8jt,17jt,yes,e-wallet (protected),yes,yes,low,U08585
C0383,Samsung Galaxy S23,10.3jt,11.5jt,no,COD,yes,yes,low,U09119
C0384,Drone DJI Mini,6.1jt,7jt,no,COD,no,yes,low,U03837
C0385,Sepeda Lipat,2.8jt,2.8jt,no,COD,no,yes,low,U04337
C0386,Kulkas 2 Pintu,5.2jt,5jt,yes,e-wallet (protected),no,yes,low,U07254
C0387,Sepatu Sneakers Original,867rb,1.6jt,no,e-wallet (protected),yes,no,high,U04469
C0388,Samsung Galaxy S23,11.4jt,11.5jt,no,transfer,no,no,high,U08908
C0389,Laptop Macbook Air M2,13.9jt,15.5jt,yes,transfer,no,yes,low,U08669
C0390,iPhone 15 Pro,7.8jt,19.5jt,no,transfer,no,yes,high,U03216
C0391,Laptop ASUS ROG,17.3jt,17jt,no,COD,no,yes,low,U00625
C0392,Set Peralatan Dapur,918rb,950rb,no,COD,yes,yes,medium,U08312
C0393,Sepatu Sneakers Original,211rb,1.6jt,no,transfer,no,no,high,U07641
C0394,PS5,2.0jt,8jt,no,transfer,yes,no,high,U06037
C0395,Sofa 3 Dudukan,637rb,3.2jt,no,transfer,yes,no,high,U09200
C0396,Mesin Cuci,3.0jt,3.8jt,no,COD,no,yes,medium,U02514
C0397,Perhiasan Emas 10gr,1.9jt,10jt,no,transfer,no,no,high,U08041
C0398,Tas Branded,3.0jt,4.5jt,no,transfer,no,yes,medium,U00038
C0399,Speaker Bluetooth,720rb,700rb,no,COD,yes,yes,medium,U06685
C0400,Sepeda Lipat,371rb,2.8jt,no,transfer,yes,no,high,U08490
